Descriptor                     coef    stderr          t      pvals      y      z
ATSC7are        9.129e-05      0.000      0.703      0.489      -0.000       0.000
ATSC8are        7.054e-05   3.16e-05      2.234      0.035    5.37e-06       0.000
ATSC0p          3.745e-05    2.9e-05      1.291      0.209   -2.24e-05    9.73e-05
ATSC1p          2.011e-05    1.6e-05      1.256      0.221   -1.29e-05    5.32e-05
ATSC2p          5.975e-05      0.000      0.529      0.602      -0.000       0.000
ATSC3p         -9.664e-05   8.86e-05     -1.090      0.286      -0.000    8.63e-05
ATSC4p            -0.0001      0.000     -0.746      0.463      -0.001       0.000
ATSC5p         -1.379e-06    3.7e-05     -0.037      0.971   -7.76e-05    7.49e-05
ATSC6p          4.897e-05   6.09e-05      0.803      0.430   -7.68e-05       0.000
ATSC7p         -2.204e-05   4.27e-05     -0.516      0.611      -0.000    6.62e-05
ATSC8p             0.0001      0.000      0.553      0.585      -0.000       0.001
ATSC0i             0.0012      0.001      1.857      0.076      -0.000       0.002
ATSC1i             0.0002      0.000      0.621      0.540      -0.001       0.001
ATSC2i             0.0009      0.002      0.540      0.594      -0.003       0.004
ATSC3i            -0.0010      0.001     -1.044      0.307      -0.003       0.001
ATSC4i            -0.0004      0.002     -0.193      0.849      -0.005       0.004
ATSC5i             0.0003      0.001      0.277      0.784      -0.002       0.002
ATSC6i             0.0008      0.003      0.277      0.784      -0.005       0.007
ATSC7i             0.0004      0.001      0.479      0.636      -0.001       0.002
ATSC8i             0.0005      0.002      0.257      0.799      -0.003       0.004
AATSC0c        -8.159e-08   3.22e-07     -0.254      0.802   -7.46e-07    5.83e-07
AATSC1c         2.389e-07   1.01e-07      2.369      0.026    3.07e-08    4.47e-07
AATSC2c         1.281e-07   1.12e-07      1.146      0.263   -1.03e-07    3.59e-07
AATSC3c         9.147e-08   3.33e-07      0.274      0.786   -5.97e-07     7.8e-07
AATSC4c          7.91e-08    3.8e-07      0.208      0.837   -7.06e-07    8.64e-07
AATSC5c        -1.499e-07   8.19e-08     -1.831      0.079   -3.19e-07     1.9e-08
AATSC6c         1.877e-07   3.03e-07      0.619      0.542   -4.38e-07    8.14e-07
AATSC7c         3.526e-07   5.96e-07      0.592      0.559   -8.77e-07    1.58e-06
AATSC8c        -4.777e-07   7.79e-07     -0.613      0.546   -2.09e-06    1.13e-06
AATSC0dv       -2.297e-05      0.000     -0.139      0.890      -0.000       0.000
AATSC1dv        5.232e-07   5.78e-05      0.009      0.993      -0.000       0.000
AATSC2dv        1.833e-06   2.61e-05      0.070      0.945   -5.21e-05    5.57e-05
AATSC3dv        -1.75e-06   8.06e-05     -0.022      0.983      -0.000       0.000
AATSC4dv       -1.885e-05   5.57e-05     -0.339      0.738      -0.000     9.6e-05
AATSC5dv       -1.196e-05    1.8e-05     -0.664      0.513   -4.91e-05    2.52e-05
AATSC6dv        3.541e-05      0.000      0.260      0.797      -0.000       0.000
AATSC7dv       -5.213e-05   6.27e-05     -0.832      0.414      -0.000    7.72e-05
AATSC8dv          -0.0001      0.000     -0.350      0.729      -0.001       0.001
AATSC0d         2.104e-06   5.09e-06      0.414      0.683   -8.39e-06    1.26e-05
AATSC1d         4.486e-06   2.46e-06      1.823      0.081   -5.92e-07    9.56e-06
AATSC2d         2.335e-06      8e-07      2.920      0.008    6.84e-07    3.98e-06
AATSC3d        -2.784e-06   2.15e-06     -1.295      0.208   -7.22e-06    1.65e-06
AATSC4d        -7.376e-06    2.8e-06     -2.636      0.014   -1.31e-05    -1.6e-06
AATSC5d         2.375e-06   8.99e-07      2.643      0.014     5.2e-07    4.23e-06
AATSC6d        -1.321e-06   4.23e-06     -0.312      0.758   -1.01e-05    7.42e-06
AATSC7d        -2.164e-05   5.96e-06     -3.633      0.001   -3.39e-05   -9.35e-06
AATSC8d        -4.071e-06    3.6e-06     -1.131      0.269   -1.15e-05    3.36e-06
AATSC0Z            0.0001      0.000      0.446      0.660      -0.001       0.001
AATSC1Z         3.472e-06   1.32e-06      2.635      0.015    7.53e-07    6.19e-06
AATSC2Z         2.019e-05   1.03e-05      1.960      0.062   -1.08e-06    4.15e-05
AATSC3Z            0.0001   6.93e-05      1.758      0.092   -2.12e-05       0.000
AATSC4Z        -2.543e-05   8.92e-06     -2.851      0.009   -4.38e-05   -7.02e-06
AATSC5Z           -0.0003      0.000     -2.053      0.051      -0.001     1.5e-06
AATSC6Z           -0.0002      0.000     -0.672      0.508      -0.001       0.000
AATSC7Z        -3.769e-05      0.000     -0.206      0.839      -0.000       0.000
AATSC8Z           -0.0004   9.69e-05     -3.982      0.001      -0.001      -0.000
AATSC0m            0.0006      0.001      0.434      0.668      -0.002       0.004
AATSC1m         1.375e-05   7.79e-06      1.765      0.090   -2.33e-06    2.98e-05
AATSC2m         7.353e-05   4.73e-05      1.555      0.133   -2.41e-05       0.000
AATSC3m            0.0005      0.000      1.424      0.167      -0.000       0.001
AATSC4m         -9.73e-05   4.32e-05     -2.251      0.034      -0.000   -8.07e-06
AATSC5m           -0.0013      0.001     -1.810      0.083      -0.003       0.000
AATSC6m           -0.0008      0.001     -0.601      0.553      -0.004       0.002
AATSC7m           -0.0001      0.001     -0.115      0.909      -0.002       0.002
AATSC8m           -0.0018      0.000     -4.002      0.001      -0.003      -0.001
AATSC0v            0.0002      0.000      0.424      0.675      -0.001       0.001
AATSC1v         7.426e-05   2.06e-05      3.603      0.001    3.17e-05       0.000
AATSC2v         4.683e-05      0.000      0.264      0.794      -0.000       0.000
AATSC3v            0.0002      7e-05      3.033      0.006    6.78e-05       0.000
AATSC4v           -0.0003      0.000     -1.273      0.215      -0.001       0.000
AATSC5v           -0.0007      0.000     -3.709      0.001      -0.001      -0.000
AATSC6v            0.0002   5.83e-05      3.054      0.005    5.77e-05       0.000
AATSC7v           -0.0001      0.000     -0.342      0.736      -0.001       0.001
AATSC8v           -0.0016      0.000     -3.704      0.001      -0.002      -0.001
AATSC0se       -1.109e-06    6.4e-06     -0.173      0.864   -1.43e-05    1.21e-05
AATSC1se        3.332e-07   4.83e-07      0.690      0.497   -6.64e-07    1.33e-06
AATSC2se       -4.798e-07   2.79e-06     -0.172      0.865   -6.25e-06    5.29e-06
